category,price,quantity,delivery_status,payment_method,device_type,channel,customer_segment,shipping_delay_days,order_month,order_day,order_dayofweek,order_hour,shipping_month,shipping_day,shipping_dayofweek,shipping_hour,is_weekend_order,shipping_city,shipping_state,billing_city,billing_state,product_popularity
Home,155.57,1,Delivered,PayPal,Tablet,Paid Search,Returning,1.0,4,21,6,14,4,22,0,14,1,Penashire,New Jersey,Goodwinville,New York,10
Electronics,288.41,3,Delivered,Apple Pay,Tablet,Paid Search,Returning,1.0,4,21,6,14,4,22,0,14,1,Lake Edward,Vermont,East Shaunland,Connecticut,16
Books,286.85,2,Delivered,Credit Card,Tablet,Social,Returning,1.0,4,21,6,14,4,22,0,14,1,North Nicole,Louisiana,Brandonhaven,Virginia,19
Toys,422.03,3,Delivered,Apple Pay,Mobile,Email,VIP,2.0,4,21,6,14,4,23,1,14,1,Rachelbury,Utah,West Samueltown,North Carolina,6
Clothing,241.83,4,Shipped,Credit Card,Tablet,Paid Search,VIP,3.0,4,21,6,14,4,24,2,14,1,East Kevin,Montana,Blackwellberg,Washington,7
Home,362.08,2,Delivered,Apple Pay,Tablet,Social,VIP,1.0,4,21,6,14,4,22,0,14,1,South Brittany,Utah,Markbury,Alaska,7
Electronics,496.82,2,Delivered,Apple Pay,Mobile,Organic,Returning,6.0,4,21,6,14,4,27,5,14,1,East Katherine,Minnesota,Crystalburgh,Indiana,17
Books,116.35,1,Delivered,Google Pay,Desktop,Paid Search,Returning,6.0,4,21,6,14,4,27,5,14,1,New Jacquelinefurt,California,New William,Florida,11
Electronics,263.78,2,Pending,Apple Pay,Desktop,Social,VIP,4.0,4,21,6,14,4,25,3,14,1,Gregoryview,Georgia,Lake Natalie,Idaho,11
Toys,361.63,3,Shipped,PayPal,Tablet,Social,VIP,7.0,4,21,6,14,4,28,6,14,1,Katherinefort,North Dakota,Lake Jessicafort,New Mexico,10
Home,253.4,4,Shipped,Credit Card,Desktop,Social,VIP,6.0,4,21,6,14,4,27,5,14,1,West Chloestad,New Mexico,Armstrongburgh,Oklahoma,8
Clothing,313.22,1,Delivered,Credit Card,Tablet,Social,Returning,3.0,4,21,6,14,4,24,2,14,1,Garciamouth,North Dakota,South Michaelshire,Washington,11
Beauty,157.61,3,Delivered,Apple Pay,Desktop,Email,VIP,4.0,4,22,0,14,4,26,4,14,0,Amandafurt,Alabama,Kevinchester,Missouri,9
Clothing,224.16,1,Shipped,Debit Card,Mobile,Paid Search,Returning,4.0,4,22,0,14,4,26,4,14,0,Port Anthonyland,Massachusetts,Margaretmouth,Vermont,6
Clothing,189.2,1,Delivered,PayPal,Desktop,Email,VIP,5.0,4,22,0,14,4,27,5,14,0,Morganchester,Georgia,North Jill,Mississippi,8
Home,198.57,4,Shipped,PayPal,Mobile,Paid Search,VIP,6.0,4,22,0,14,4,28,6,14,0,New Kristyside,Pennsylvania,Lake Jeffrey,Massachusetts,8
Books,159.96,4,Delivered,Apple Pay,Desktop,Email,VIP,3.0,4,22,0,14,4,25,3,14,0,Johnsonfort,New York,Jamesmouth,New York,10
Toys,387.29,2,Delivered,PayPal,Desktop,Social,Returning,4.0,4,22,0,14,4,26,4,14,0,New James,New Jersey,Johnsonfurt,Arkansas,17
Electronics,269.95,3,Shipped,Credit Card,Mobile,Organic,Returning,3.0,4,22,0,14,4,25,3,14,0,Janeborough,Tennessee,Reidbury,Massachusetts,12
Clothing,278.41,2,Delivered,Apple Pay,Tablet,Social,Returning,5.0,4,22,0,14,4,27,5,14,0,New Dylanchester,New Hampshire,Petersonhaven,Oklahoma,17
Clothing,437.21,1,Delivered,Google Pay,Mobile,Social,VIP,6.0,4,22,0,14,4,28,6,14,0,East Pamelaport,Maryland,Crystalmouth,New Jersey,11
Books,150.49,2,Delivered,PayPal,Desktop,Email,VIP,5.0,4,22,0,14,4,27,5,14,0,Lake Ryanshire,Maryland,Floydfurt,Indiana,8
Toys,451.94,1,Delivered,Debit Card,Desktop,Social,Returning,2.0,4,22,0,14,4,24,2,14,0,Brownmouth,Wisconsin,West Maryview,Iowa,12
Clothing,201.22,1,Delivered,PayPal,Desktop,Email,VIP,1.0,4,22,0,14,4,23,1,14,0,East Heather,Kentucky,South Taylor,Delaware,8
Home,375.78,2,Pending,Apple Pay,Mobile,Email,Returning,7.0,4,22,0,14,4,29,0,14,0,Port Luismouth,South Carolina,Port Erinstad,Washington,16
Beauty,105.49,1,Shipped,Credit Card,Desktop,Paid Search,Returning,4.0,4,22,0,14,4,26,4,14,0,Jonesland,Oklahoma,Hallside,Vermont,7
Home,311.83,1,Shipped,Apple Pay,Mobile,Paid Search,Returning,6.0,4,22,0,14,4,28,6,14,0,West Susan,Connecticut,Lake Tashabury,South Carolina,12
Clothing,164.69,1,Delivered,Credit Card,Tablet,Social,VIP,7.0,4,22,0,14,4,29,0,14,0,South Daltonmouth,Indiana,Martinberg,Arkansas,14
Books,341.38,3,Delivered,Debit Card,Tablet,Social,VIP,2.0,4,22,0,14,4,24,2,14,0,Douglasview,North Dakota,Johnhaven,Washington,14
Electronics,474.66,1,Delivered,Credit Card,Desktop,Organic,VIP,2.0,4,22,0,14,4,24,2,14,0,Marcusmouth,Utah,Wilkinsonhaven,Arkansas,9
Beauty,219.4,1,Delivered,Debit Card,Mobile,Organic,VIP,3.0,4,22,0,14,4,25,3,14,0,New Christopher,Ohio,New Carol,Iowa,9
Toys,39.43,1,Delivered,Apple Pay,Desktop,Organic,Returning,2.0,4,22,0,14,4,24,2,14,0,Russellside,Arizona,East Donald,Indiana,14
Books,365.79,3,Returned,Debit Card,Mobile,Paid Search,Returning,5.0,4,22,0,14,4,27,5,14,0,North Alexandra,Colorado,Butlermouth,Hawaii,10
Books,153.26,1,Delivered,Apple Pay,Tablet,Organic,Returning,4.0,4,22,0,14,4,26,4,14,0,North Lisa,Indiana,Port Ianview,Maine,5
Electronics,71.87,3,Pending,Credit Card,Mobile,Organic,Returning,7.0,4,22,0,14,4,29,0,14,0,New Craigchester,Alaska,Lake Colleen,Arkansas,18
Clothing,162.69,1,Delivered,Debit Card,Tablet,Paid Search,VIP,2.0,4,22,0,14,4,24,2,14,0,Keithtown,New Jersey,South Heather,Nebraska,15
Electronics,490.26,1,Delivered,PayPal,Mobile,Email,Returning,4.0,4,22,0,14,4,26,4,14,0,Woodardchester,Vermont,Lake Jillside,Illinois,13
Books,93.74,4,Delivered,PayPal,Desktop,Paid Search,Returning,3.0,4,22,0,14,4,25,3,14,0,South Brianmouth,Oklahoma,Romerostad,Idaho,12
Books,197.88,1,Shipped,Debit Card,Tablet,Email,VIP,3.0,4,22,0,14,4,25,3,14,0,New Angel,Hawaii,Williamstown,Missouri,19
Books,24.96,3,Delivered,Apple Pay,Desktop,Social,Returning,3.0,4,22,0,14,4,25,3,14,0,Lake Michelleton,Tennessee,Harrisstad,Maine,11
Books,66.04,3,Delivered,Apple Pay,Tablet,Email,VIP,5.0,4,22,0,14,4,27,5,14,0,South Tracyshire,North Carolina,Shermanton,South Dakota,5
Clothing,164.94,2,Delivered,PayPal,Desktop,Email,VIP,7.0,4,22,0,14,4,29,0,14,0,Edwardville,Louisiana,Lake Emilyview,Washington,10
Clothing,23.34,2,Delivered,Google Pay,Tablet,Social,Returning,5.0,4,22,0,14,4,27,5,14,0,West Bobbyport,New York,West Christinemouth,North Carolina,5
Electronics,225.2,3,Delivered,PayPal,Tablet,Paid Search,New,7.0,4,22,0,14,4,29,0,14,0,Kellerborough,Minnesota,Billystad,Delaware,9
Beauty,138.59,3,Delivered,Debit Card,Tablet,Social,Returning,4.0,4,22,0,14,4,26,4,14,0,New Jordanberg,Wisconsin,South Rebecca,Rhode Island,9
Electronics,135.03,4,Delivered,Debit Card,Tablet,Email,Returning,2.0,4,22,0,14,4,24,2,14,0,Jeremiahfurt,Indiana,Joelberg,Georgia,6
Books,91.87,5,Delivered,Google Pay,Desktop,Organic,VIP,6.0,4,22,0,14,4,28,6,14,0,Foxshire,Mississippi,Amymouth,Montana,11
Toys,152.32,1,Delivered,Debit Card,Tablet,Social,VIP,5.0,4,22,0,14,4,27,5,14,0,Gomezborough,Indiana,North Katiestad,Tennessee,15
Home,329.5,1,Delivered,Apple Pay,Tablet,Email,VIP,4.0,4,22,0,14,4,26,4,14,0,Davisville,Wisconsin,East Donaldmouth,Connecticut,16
Books,196.53,4,Shipped,Google Pay,Tablet,Paid Search,VIP,5.0,4,22,0,14,4,27,5,14,0,West Ryanfort,Idaho,Port Tiffanymouth,Georgia,12
Books,386.49,2,Delivered,Apple Pay,Desktop,Social,Returning,3.0,4,22,0,14,4,25,3,14,0,Janeborough,Oregon,Melaniehaven,West Virginia,11
Beauty,56.32,1,Shipped,Apple Pay,Tablet,Organic,New,6.0,4,23,1,14,4,29,0,14,0,Fostermouth,Virginia,Dennistown,Maine,12
Electronics,63.13,1,Shipped,Apple Pay,Tablet,Social,Returning,4.0,4,23,1,14,4,27,5,14,0,Jonesland,Michigan,Adamfurt,Alaska,12
Clothing,51.48,2,Delivered,Apple Pay,Desktop,Social,VIP,6.0,4,23,1,14,4,29,0,14,0,Tamarabury,Iowa,Lake Jenniferchester,Mississippi,9
Books,391.54,2,Shipped,Google Pay,Desktop,Social,VIP,4.0,4,23,1,14,4,27,5,14,0,Hollandland,Oregon,West Lucas,Florida,10
Electronics,259.36,1,Delivered,Debit Card,Mobile,Social,Returning,4.0,4,23,1,14,4,27,5,14,0,Andrewborough,Kansas,Meganchester,Oklahoma,12
Books,378.27,3,Delivered,Apple Pay,Desktop,Paid Search,VIP,6.0,4,23,1,14,4,29,0,14,0,Port Randymouth,Pennsylvania,Davisfort,Rhode Island,14
Home,107.48,3,Shipped,PayPal,Desktop,Social,Returning,3.0,4,23,1,14,4,26,4,14,0,Jerrychester,New Mexico,New Adam,Vermont,6
Electronics,499.9,2,Delivered,Debit Card,Tablet,Organic,VIP,7.0,4,23,1,14,4,30,1,14,0,New Erinberg,Nevada,Shelbyville,Virginia,14
Clothing,297.48,1,Delivered,PayPal,Mobile,Organic,VIP,7.0,4,23,1,14,4,30,1,14,0,East Melissa,Indiana,North Gina,Indiana,21
Beauty,245.69,3,Delivered,PayPal,Tablet,Paid Search,Returning,4.0,4,23,1,14,4,27,5,14,0,Port Normanmouth,North Carolina,Pamville,Wyoming,12
Books,98.14,1,Shipped,Credit Card,Desktop,Social,Returning,7.0,4,23,1,14,4,30,1,14,0,Port Betty,Iowa,Hessmouth,Kentucky,10
Electronics,49.49,2,Delivered,Debit Card,Tablet,Email,Returning,4.0,4,23,1,14,4,27,5,14,0,West Kathrynfort,South Carolina,South Victoria,Wisconsin,6
Books,45.26,1,Delivered,PayPal,Mobile,Paid Search,Returning,4.0,4,23,1,14,4,27,5,14,0,Alexandermouth,Kansas,Hernandezburgh,Florida,16
Beauty,67.61,2,Delivered,Apple Pay,Desktop,Organic,VIP,4.0,4,23,1,14,4,27,5,14,0,Ryanfort,Michigan,Kristenmouth,Arkansas,8
Clothing,471.53,2,Delivered,Credit Card,Tablet,Organic,Returning,3.0,4,23,1,14,4,26,4,14,0,West Roy,Pennsylvania,Port Kayla,Oregon,10
Home,60.33,4,Delivered,Apple Pay,Tablet,Email,VIP,4.0,4,23,1,14,4,27,5,14,0,Port Ryan,Minnesota,South Derek,Illinois,15
Clothing,330.9,2,Delivered,Credit Card,Desktop,Email,Returning,2.0,4,23,1,14,4,25,3,14,0,East Justinport,New Mexico,East Patrickfort,Rhode Island,14
Electronics,143.32,2,Delivered,Credit Card,Desktop,Social,VIP,2.0,4,23,1,14,4,25,3,14,0,Port Joseph,Illinois,Flowerstown,New Jersey,10
Home,494.51,1,Delivered,Credit Card,Mobile,Paid Search,VIP,7.0,4,23,1,14,4,30,1,14,0,Hoffmanburgh,Ohio,East Toddmouth,Arizona,12
Beauty,203.22,2,Delivered,Debit Card,Desktop,Email,Returning,1.0,4,23,1,14,4,24,2,14,0,Tabithachester,Ohio,Juliestad,North Dakota,11
Home,284.78,3,Delivered,Google Pay,Mobile,Organic,VIP,5.0,4,23,1,14,4,28,6,14,0,Vincentmouth,Michigan,North Susan,Vermont,8
Books,79.93,3,Delivered,Google Pay,Desktop,Email,VIP,7.0,4,23,1,14,4,30,1,14,0,South Brianabury,Idaho,Scottmouth,Florida,11
Books,289.25,3,Shipped,Credit Card,Mobile,Paid Search,Returning,1.0,4,23,1,14,4,24,2,14,0,Leahtown,Vermont,Chenbury,North Dakota,8
Beauty,216.6,1,Delivered,Google Pay,Tablet,Email,VIP,4.0,4,24,2,14,4,28,6,14,0,Davetown,West Virginia,Boltonstad,Minnesota,11
Toys,135.83,2,Delivered,Debit Card,Mobile,Social,Returning,1.0,4,24,2,14,4,25,3,14,0,Wilsonport,Louisiana,Taylorport,Alaska,12
Electronics,15.13,1,Delivered,Google Pay,Mobile,Email,VIP,4.0,4,24,2,14,4,28,6,14,0,Matthewsshire,Florida,Jennifershire,South Dakota,10
Beauty,52.29,2,Shipped,Apple Pay,Desktop,Email,VIP,3.0,4,24,2,14,4,27,5,14,0,Port Brianberg,Ohio,Sandychester,Minnesota,6
Beauty,169.93,3,Returned,Credit Card,Desktop,Organic,Returning,7.0,4,24,2,14,5,1,2,14,0,Davistown,Oklahoma,Jordanport,Iowa,8
Books,316.19,1,Delivered,Credit Card,Mobile,Paid Search,Returning,3.0,4,24,2,14,4,27,5,14,0,North Christophertown,Vermont,East Michael,Florida,10
Beauty,363.98,3,Pending,PayPal,Desktop,Paid Search,VIP,7.0,4,24,2,14,5,1,2,14,0,Rhodestown,Wisconsin,Nealshire,Massachusetts,9
Beauty,120.26,1,Delivered,PayPal,Desktop,Paid Search,VIP,3.0,4,24,2,14,4,27,5,14,0,Scottfurt,Georgia,North Samantha,Missouri,11
Toys,292.71,1,Delivered,Credit Card,Mobile,Email,Returning,2.0,4,24,2,14,4,26,4,14,0,East Sandrafort,Arkansas,West Matthewmouth,Montana,6
Toys,423.75,1,Returned,Debit Card,Mobile,Paid Search,VIP,1.0,4,24,2,14,4,25,3,14,0,Nicoleside,Delaware,Valentineside,Delaware,11
Clothing,436.52,1,Delivered,PayPal,Mobile,Social,Returning,1.0,4,24,2,14,4,25,3,14,0,East Caitlynton,Delaware,Martinezside,Oregon,11
Electronics,429.13,5,Delivered,Google Pay,Mobile,Organic,VIP,7.0,4,24,2,14,5,1,2,14,0,Hartchester,Minnesota,Lake Stephanie,South Carolina,9
Electronics,244.56,3,Delivered,Apple Pay,Tablet,Email,VIP,2.0,4,24,2,14,4,26,4,14,0,Hernandezview,Montana,North Billystad,North Carolina,9
Home,89.94,4,Shipped,Debit Card,Tablet,Email,Returning,2.0,4,24,2,14,4,26,4,14,0,Savagemouth,Oregon,Port Peter,Pennsylvania,8
Clothing,332.58,1,Shipped,Apple Pay,Tablet,Social,Returning,7.0,4,24,2,14,5,1,2,14,0,East Ryan,Oregon,North Sarahhaven,Georgia,13
Beauty,314.69,1,Returned,Apple Pay,Mobile,Email,VIP,4.0,4,24,2,14,4,28,6,14,0,Mandystad,Colorado,Flemingmouth,Wisconsin,12
Toys,296.71,5,Delivered,Apple Pay,Desktop,Social,Returning,3.0,4,24,2,14,4,27,5,14,0,West Laurenmouth,Delaware,South Sarahfurt,North Carolina,5
Electronics,359.67,1,Delivered,Apple Pay,Tablet,Organic,Returning,6.0,4,24,2,14,4,30,1,14,0,Whiteberg,Nevada,New Madison,Louisiana,7
Clothing,474.62,1,Delivered,Credit Card,Desktop,Paid Search,Returning,7.0,4,24,2,14,5,1,2,14,0,Savagechester,Georgia,Patriciastad,Connecticut,12
Clothing,408.76,4,Delivered,Debit Card,Mobile,Email,VIP,4.0,4,24,2,14,4,28,6,14,0,Ashleychester,Montana,Judithton,Nebraska,7
Books,394.99,2,Delivered,Debit Card,Desktop,Email,VIP,1.0,4,24,2,14,4,25,3,14,0,Port Lauraland,Oklahoma,Amandaville,Texas,7
Home,334.74,3,Shipped,PayPal,Mobile,Email,Returning,6.0,4,24,2,14,4,30,1,14,0,East Anthony,Utah,Lake Derrickview,Hawaii,19
Books,374.04,1,Pending,Credit Card,Tablet,Social,VIP,3.0,4,24,2,14,4,27,5,14,0,Meltonchester,Iowa,Faithville,Connecticut,7
Home,126.51,1,Pending,Google Pay,Desktop,Email,New,4.0,4,24,2,14,4,28,6,14,0,Jeffreystad,Montana,Duartemouth,Kansas,11
Electronics,209.54,2,Delivered,Google Pay,Desktop,Social,Returning,4.0,4,24,2,14,4,28,6,14,0,Jamesmouth,Maine,Georgeland,Alabama,8
Beauty,383.97,3,Shipped,PayPal,Tablet,Paid Search,VIP,6.0,4,24,2,14,4,30,1,14,0,Lake Daniellefort,Arkansas,North Savannahburgh,Idaho,17
Home,211.49,4,Delivered,Google Pay,Mobile,Social,VIP,1.0,4,24,2,14,4,25,3,14,0,Morgantown,North Carolina,Valenciafort,New Hampshire,8
Books,96.12,2,Delivered,PayPal,Mobile,Organic,VIP,2.0,4,24,2,14,4,26,4,14,0,Christinestad,Kentucky,Andrewside,Mississippi,8
Books,79.22,2,Pending,PayPal,Tablet,Paid Search,New,4.0,4,24,2,14,4,28,6,14,0,Scottmouth,Michigan,Tiffanyborough,Michigan,7
Electronics,405.57,1,Shipped,PayPal,Mobile,Email,New,7.0,4,25,3,14,5,2,3,14,0,Lake Dannyport,Ohio,North Alan,Indiana,8
Books,429.6,4,Pending,Google Pay,Desktop,Paid Search,VIP,6.0,4,25,3,14,5,1,2,14,0,Port Ashley,Ohio,Port Zachary,Indiana,13
Home,337.61,2,Delivered,Apple Pay,Tablet,Paid Search,Returning,6.0,4,25,3,14,5,1,2,14,0,Rebekahhaven,Virginia,Montgomeryberg,Alaska,8
Electronics,151.11,4,Shipped,Credit Card,Mobile,Email,VIP,6.0,4,25,3,14,5,1,2,14,0,Ashleyfort,Arizona,Port Christina,Wisconsin,11
Home,192.02,2,Delivered,Apple Pay,Tablet,Email,Returning,1.0,4,25,3,14,4,26,4,14,0,Lake John,Missouri,East Bob,Vermont,8
Electronics,74.59,1,Delivered,Apple Pay,Desktop,Email,VIP,6.0,4,25,3,14,5,1,2,14,0,Costaborough,Washington,New Eric,Florida,7
Books,342.64,4,Returned,PayPal,Tablet,Organic,Returning,4.0,4,25,3,14,4,29,0,14,0,Laurietown,Iowa,New Brandonside,Massachusetts,9
Toys,169.93,1,Pending,Debit Card,Mobile,Email,Returning,7.0,4,25,3,14,5,2,3,14,0,North Joseph,Maine,West Austinmouth,Pennsylvania,14
Home,200.68,3,Delivered,PayPal,Desktop,Paid Search,VIP,2.0,4,25,3,14,4,27,5,14,0,East Jill,Arizona,Andersonbury,Oregon,8
Clothing,331.34,1,Shipped,Credit Card,Mobile,Organic,VIP,4.0,4,25,3,14,4,29,0,14,0,Lisaside,Maryland,Floreston,Kansas,13
Toys,289.34,3,Shipped,Credit Card,Mobile,Email,VIP,5.0,4,25,3,14,4,30,1,14,0,Nicholashaven,Missouri,South Dominiqueland,Maryland,14
Clothing,6.49,3,Delivered,PayPal,Desktop,Social,Returning,4.0,4,25,3,14,4,29,0,14,0,West David,Kentucky,West Cameron,Maryland,12
Beauty,139.81,4,Shipped,Google Pay,Desktop,Social,Returning,7.0,4,25,3,14,5,2,3,14,0,South Christine,Washington,Clarkeport,Pennsylvania,12
Home,229.5,1,Shipped,PayPal,Desktop,Email,VIP,6.0,4,25,3,14,5,1,2,14,0,Allenville,Idaho,Lake Tracyberg,Alabama,11
Books,492.39,1,Delivered,Apple Pay,Mobile,Paid Search,VIP,5.0,4,25,3,14,4,30,1,14,0,West Jimhaven,Florida,Lake Steven,Wyoming,8
Home,131.34,1,Delivered,Apple Pay,Desktop,Paid Search,VIP,7.0,4,25,3,14,5,2,3,14,0,Tonifurt,Minnesota,Lake Brian,Virginia,10
Books,270.33,2,Pending,Credit Card,Mobile,Email,Returning,5.0,4,25,3,14,4,30,1,14,0,Thompsonfort,Vermont,Juliahaven,Georgia,12
